d,w
1,100
1,142
1,71
1,26
1,222
1,151
1,14
1,15
1,68
1,18
1,21
1,22
1,69
1,109
1,167
1,209
1,70
1,203
1,104
1,103
1,102
1,137
1,45
1,46
1,163
1,51
1,213
1,150
1,259
1,32
1,31
1,30
1,52
1,25
1,44
1,20
1,16
1,194
1,139
1,61
1,11
1,53
1,10
1,117
1,19
1,50
1,34
1,48
1,49
2,178
2,35
2,187
2,45
2,46
2,217
2,100
2,131
2,132
2,14
2,18
2,19
2,20
2,21
2,51
2,24
2,22
2,31
2,32
2,246
2,136
2,33
2,30
2,220
2,245
2,55
2,26
2,25
2,34
3,98
3,25
3,27
3,55
3,102
3,103
3,104
3,109
3,46
3,45
3,51
3,96
3,95
3,24
3,97
3,176
3,42
3,22
3,180
3,19
3,140
3,49
3,50
3,52
3,53
3,247
3,115
3,21
3,146
3,175
3,230
3,160
3,147
3,248
3,70
3,249
3,250
3,2
3,18
3,16
3,14
3,44
3,23
3,6
3,33
3,5
4,24
4,98
4,163
4,69
4,22
4,21
4,20
4,14
4,114
4,55
5,21
5,53
5,15
5,16
5,17
5,18
5,19
5,22
5,69
5,63
5,24
5,23
5,25
5,26
5,27
5,114
5,42
5,48
5,49
5,50
5,52
5,98
6,71
6,44
6,54
6,203
6,2
6,202
6,4
6,46
6,51
6,14
6,15
6,16
6,17
6,18
6,63
6,19
6,21
6,22
6,98
6,114
6,70
6,75
6,42
6,20
6,38
6,45
6,25
6,157
6,5
6,6
6,122
6,270
6,49
6,55
6,3
6,52
6,50
6,37
6,47
6,35
6,33
6,100
6,69
6,23
6,53
7,231
7,5
7,175
7,158
7,146
7,3
7,4
7,124
7,139
7,104
7,103
7,102
7,55
7,98
7,19
7,157
7,68
7,18
7,35
7,109
7,194
7,44
7,45
7,46
7,59
7,51
7,15
8,281
8,42
8,279
8,33
8,278
8,55
8,47
8,206
8,276
8,45
8,46
8,51
8,14
8,98
8,19
8,20
8,21
8,22
8,24
8,16
9,89
9,88
9,87
9,85
9,78
9,82
9,233
9,91
9,257
9,83
9,93
9,163
9,77
9,46
9,51
9,256
9,54
9,15
9,16
9,17
9,18
9,72
9,21
9,22
9,24
9,25
9,26
9,30
9,31
9,32
9,34
9,35
9,41
9,44
9,45
9,37
9,19
9,84
9,90
9,80
9,81
9,86
9,92
9,2
9,3
9,4
9,157
9,5
9,13
9,97
9,64
9,38
9,95
9,67
9,76
9,73
9,216
9,96
9,287
9,74
9,124
10,38
10,16
10,49
10,205
10,50
10,52
10,79
10,14
10,15
10,17
10,69
10,19
10,20
10,21
10,22
10,23
10,24
10,25
10,55
10,114
10,18
10,98
11,31
11,30
11,24
11,18
11,14
11,254
11,70
11,248
11,100
11,172
11,170
11,164
11,109
11,104
11,19
11,103
11,17
11,16
11,68
11,15
11,13
11,286
11,285
11,284
11,117
11,173
11,171
11,102
11,151
11,20
11,22
11,52
11,50
11,49
11,6
11,185
11,38
11,184
11,183
11,42
11,34
11,5
11,21
11,157
11,116
11,115
11,3
11,2
11,79
11,33
11,44
11,113
11,55
11,98
11,163
11,4
11,166
11,253
11,53
11,212
11,211
11,32
12,240
12,80
12,64
12,117
12,34
12,32
12,31
12,33
12,65
12,135
12,27
12,134
12,26
12,90
12,113
12,148
12,237
12,55
12,238
12,20
12,210
12,98
12,163
12,42
12,14
12,110
12,239
12,125
12,97
12,95
12,100
12,51
12,46
12,45
12,77
12,152
12,76
12,24
12,22
12,23
12,25
12,30
12,74
12,67
12,66
12,69
12,149
12,16
12,21
12,19
12,18
12,17
13,55
13,46
13,35
13,45
13,14
13,16
13,19
13,20
13,42
13,98
13,51
13,24
13,18
14,52
14,20
14,19
14,16
14,44
14,5
14,157
14,4
14,116
14,115
14,25
14,50
14,128
14,49
14,42
14,220
14,34
14,212
14,211
14,32
14,55
14,31
14,30
14,98
14,26
15,164
15,16
15,68
15,17
15,137
15,182
15,103
15,104
15,248
15,70
15,79
15,95
15,77
15,76
15,35
15,39
15,109
15,142
15,99
15,73
15,102
15,52
15,50
15,205
15,92
15,96
15,93
15,125
15,44
15,108
15,33
15,101
15,134
15,86
15,46
15,22
15,215
15,84
15,90
15,94
15,54
15,21
15,19
15,18
15,23
15,59
15,81
15,72
15,170
15,49
15,24
15,135
15,6
15,5
15,146
15,157
15,4
15,78
15,2
15,172
15,66
15,45
15,80
15,156
15,51
15,139
15,194
15,64
15,190
15,144
15,71
16,23
16,250
16,264
16,249
16,248
16,22
16,21
16,19
16,18
16,79
16,11
16,44
16,10
16,33
16,56
16,57
16,14
16,20
16,24
16,98
16,114
16,217
16,42
16,8
16,49
16,16
16,52
16,53
16,45
16,46
16,51
16,50
17,48
17,49
17,50
17,52
17,53
17,15
17,68
17,137
17,103
17,172
17,104
17,39
17,109
17,71
17,99
17,144
17,45
17,102
17,129
17,16
17,14
17,21
17,22
17,23
17,24
17,25
17,126
17,127
17,34
17,149
17,152
17,165
17,169
17,170
17,154
17,20
17,19
17,18
17,46
17,164
17,51
17,35
17,139
17,153
17,194
17,142
17,70
18,53
18,63
18,18
18,16
18,68
18,15
18,23
18,52
18,51
18,50
18,49
18,48
18,46
18,21
18,22
18,67
18,19
18,44
18,24
18,25
18,153
18,39
18,143
18,205
18,154
18,99
18,224
18,79
18,12
18,45
19,34
19,139
19,45
19,51
19,46
19,194
19,152
19,155
19,16
19,183
19,19
19,172
19,114
19,55
19,98
19,21
19,129
19,18
19,170
19,44
19,137
19,184
19,109
19,39
19,185
19,164
19,104
19,102
19,20
19,68
19,15
19,25
19,149
19,148
19,63
19,62
19,14
19,38
20,16
20,59
20,45
20,47
20,42
20,24
20,19
20,55
20,22
20,21
20,147
20,51
21,58
21,281
21,31
21,98
21,54
21,23
21,21
21,19
21,206
21,44
21,30
21,278
21,34
21,279
21,55
21,24
21,32
22,79
22,49
22,128
22,246
22,32
22,31
22,30
22,55
22,34
22,205
22,33
22,50
22,212
22,44
22,26
22,206
22,19
22,20
22,24
22,25
22,52
23,19
23,206
23,47
23,24
23,98
23,55
23,100
23,23
23,30
23,51
23,46
23,45
23,44
23,159
23,34
23,32
23,31
23,21
24,55
24,48
24,49
24,205
24,255
24,50
24,114
24,53
24,79
24,42
24,109
24,52
24,98
24,10
24,25
24,249
24,70
24,248
24,173
24,171
24,168
24,167
24,33
24,166
24,164
24,170
24,172
24,15
24,68
24,18
24,163
24,137
24,102
24,103
24,104
24,35
24,11
24,61
24,250
24,26
24,23
24,22
24,21
24,20
24,19
24,17
24,16
24,14
24,24
24,45
24,51
24,46
25,25
25,98
25,18
25,21
25,20
25,19
25,17
25,22
25,55
25,49
25,38
25,45
25,46
25,117
25,50
25,52
25,53
25,33
25,173
25,171
25,166
25,44
25,284
25,285
25,51
25,286
25,42
25,48
25,63
25,16
26,18
26,123
26,193
26,139
26,51
26,46
26,45
26,44
26,159
26,55
26,22
26,21
26,19
26,261
26,16
26,264
26,271
26,194
26,25
26,263
26,262
27,24
27,26
27,22
27,21
27,19
27,114
27,199
27,42
27,159
27,147
27,45
27,47
27,51
27,98
27,25
28,45
28,140
28,12
28,99
28,142
28,109
28,39
28,104
28,103
28,102
28,137
28,68
28,46
28,51
28,48
28,14
28,49
28,50
28,52
28,53
28,27
28,44
28,66
28,16
28,18
28,19
28,20
28,21
28,22
28,23
28,63
28,25
28,26
28,159
28,225
28,17
28,15
28,54
28,24
28,144
28,139
28,209
29,6
29,5
29,4
29,3
29,157
29,160
29,2
30,45
30,41
30,55
30,114
30,98
30,24
30,35
30,20
30,34
30,18
30,16
30,14
30,156
30,154
30,140
30,124
30,46
30,19
30,51
31,55
31,30
31,31
31,32
31,267
31,266
31,281
31,156
31,24
31,34
31,23
31,47
31,19
31,21
31,206
31,276
31,278
31,279
31,33
31,45
31,46
31,51
31,113
31,59
32,32
32,163
32,69
32,20
32,68
32,15
32,14
32,149
32,148
32,129
32,31
32,30
32,137
32,294
32,171
32,173
32,156
32,16
32,18
32,21
32,23
32,24
32,25
32,34
32,26
32,170
32,165
32,164
32,195
32,125
32,265
32,136
32,225
32,118
32,27
32,172
32,166
32,22
32,151
32,102
32,103
32,104
32,203
32,70
32,209
32,167
32,109
32,71
32,19
32,152
32,142
32,46
32,49
32,48
32,50
32,53
32,52
32,45
32,51
33,143
33,154
33,108
33,125
33,16
33,172
33,45
33,67
33,170
33,153
33,164
33,22
33,21
33,46
33,20
33,134
33,101
33,30
33,31
33,32
33,34
33,169
33,117
33,18
33,48
33,49
33,50
33,52
33,53
33,51
33,19
34,164
34,69
34,23
34,25
34,134
34,101
34,153
34,172
34,170
34,169
34,22
34,125
34,99
34,108
34,33
34,140
34,21
34,143
34,18
34,17
34,16
34,15
34,5
34,146
34,4
34,59
34,51
34,117
34,45
34,109
34,35
34,104
34,103
34,102
34,160
34,157
34,154
34,19
34,46
34,206
35,52
35,48
35,49
35,50
35,25
35,53
35,66
35,156
35,59
35,16
35,18
35,22
35,19
35,63
35,44
36,125
36,277
36,120
36,33
36,34
36,276
36,118
36,16
36,17
36,281
36,101
36,22
36,294
36,265
36,21
36,44
36,136
36,134
36,138
36,32
36,31
36,30
36,141
